📺YouTube 新聞,#genre#
民視新聞,https://www.youtube.com/live/ylYJSBUgaMA?si=e-d0Ns2EB36iyW_3
民視新聞,https://www.youtube.com/watch?v=ylYJSBUgaMA
三立NEWS+,https://www.youtube.com/live/MV9mI0GChwo?si=e-d0Ns2EB36iyW_3
三立NEWS+,https://www.youtube.com/watch?v=MV9mI0GChwo
三立新聞,https://www.youtube.com/live/pF507BLtbqU?si=e-d0Ns2EB36iyW_3
三立新聞,https://www.youtube.com/watch?v=pF507BLtbqU
公視新聞,https://www.youtube.com/live/quwqlazU-c8?si=e-d0Ns2EB36iyW_3
公視新聞,https://www.youtube.com/watch?v=quwqlazU-c8
非凡商業,https://www.youtube.com/live/NHQDx8vCrC4?si=e-d0Ns2EB36iyW_3
非凡商業,https://www.youtube.com/watch?v=NHQDx8vCrC4
台視新聞,https://www.youtube.com/live/xL0ch83RAK8?si=6PbDs2DOrlT9Og14
台視新聞,https://www.youtube.com/watch?v=xL0ch83RAK8
華視新聞,https://www.youtube.com/live/wM0g8EoUZ_E?si=6PbDs2DOrlT9Og14
華視新聞,https://www.youtube.com/watch?v=7lxXN3zIr-I
華視新聞,https://www.youtube.com/watch?v=wM0g8EoUZ_E
鏡新聞,https://www.youtube.com/live/5n0y6b0Q25o?si=xubbPSDWCPgY2yxM
寰宇新聞,https://www.youtube.com/live/6IquAgfvYmc?si=pOtAi2jJyFbMjUNk
寰宇新聞,https://www.youtube.com/watch?v=6IquAgfvYmc
寰宇新聞台灣台,https://www.youtube.com/live/w87VGpgd90U?si=pOtAi2jJyFbMjUNk
寰宇新聞台灣台,https://m.youtube.com/live/w87VGpgd90U
東森LIVE,https://www.youtube.com/watch?v=R2iMq5LKXco
東森LIVE,https://m.youtube.com/watch?v=E0zhe2gkXBs
東森新聞,https://www.youtube.com/watch?v=V1p33hqPrUk
東森新聞,https://m.youtube.com/watch?v=LuQ4S-i5zoE
東森新聞,https://37.27.111.214:8080/live/20/hls.m3u8
東森財經新聞,https://www.youtube.com/live/WHEPzbFA3hw
東森財經股市,https://www.youtube.com/watch?v=LbS-xQ67fos
中天新聞1台,https://www.youtube.com/watch?v=oIgbl7t0S_w
中天新聞2台,https://www.youtube.com/watch?v=WPfPjbOLNfE
中視新聞,https://www.youtube.com/watch?v=TCnaIE_SAtM
中視新聞,https://distant-dita-bobyang03-1e6eec5a.koyeb.app/litv/4gtv-4gtv074
TVBS新聞,https://www.youtube.com/watch?v=2mCSYvcfhtc
TVBS新聞,https://m.youtube.com/watch?v=2mCSYvcfhtc
TVBS新聞,https://clonglii.serv00.net/youtube_d.php?id=2mCSYvcfhtc&data=normal
TVBS新聞,https://clonglii.serv00.net/youtube_d.php?id=2mCSYvcfhtc&ln=2&data=normal
TVBS新聞,https://www.youtube.com/watch?v=2mCSYvcfhtcK
中天新聞,https://distant-dita-bobyang03-1e6eec5a.koyeb.app/litv/4gtv-4gtv00
中天新聞,https://tianhewan.top/ZIPP.php?url=http://211.72.65.236:8541/.m3u8
中天新聞,http://www.youtube.com/live/oIgbl7t0S_w?feature=share
非凡新聞,https://distant-dita-bobyang03-1e6eec5a.koyeb.app/litv/4gtv-4gtv010
台視財經,https://distant-dita-bobyang03-1e6eec5a.koyeb.app/litv/4gtv-4gtv056
國際財經,https://distant-dita-bobyang03-1e6eec5a.koyeb.app/litv/4gtv-4gtv104
